source,target,scount,tcount,weight
J. Michael Armer,,1,,0
William R. Arnold,,1,,0
David L. Featherman,,1,,0
Berton Pekowsky,Vernon K. Dibble,1,2,1
Wen H. Kuo,,1,,0
Irving Piliavin,Scott Briar,1,1,1
Avery M. Guest,James J. Zuiches,2,1,1
Thomas P. Wilson,,1,,0
Alejandro Portes,,3,,0
Norman M. Bradburn,Susan R. Orden,2,2,2
Richard A. Watson,,1,,0
Nathan Keyfitz,,1,,0
David Knoke,,1,,0
Denise Bystryn Kandel,,1,,0
Humbert S. Nelli,,1,,0
Judie Sinclair,Richard A. Rehberg,1,2,1
Richard A. Rehberg,Walter E. Schafer,2,2,2
Judie Sinclair,Walter E. Schafer,1,2,1
Sam D. Sieber,,1,,0
Patricia Gurin,,1,,0
Gary L. Wamsley,,1,,0
Harry C. Dillingham,,1,,0
Hubert M. Blalock Jr.,,2,,0
Bernard H. Gustin,,1,,0
William G. Spady,,2,,0
Robert M. Hauser,,2,,0
Minako Kurokawa Maykovich,,1,,0
Gudmund R. Iversen,,1,,0
Alexander W. Astin,David E. Drew,1,1,1
Mark S. Granovetter,,1,,0
Bernard Lazerwitz,Louis Rowitz,1,1,1
Jules J. Wanderer,,2,,0
Richard L. Henshel,,1,,0
Jack P. Gibbs,,2,,0
Leo F. Schnore,Philip C. Evenson,1,1,1
Joseph Lopreato,,2,,0
Phillip E. Hammond,Robert E. Mitchell,2,1,1
S. Roxanne Hiltz,,1,,0
Howard Gabennesch,,1,,0
Andrew M. Greeley,,4,,0
Mark Abrahamson,,1,,0
Bernard Levenson,James L. Kuethe,1,1,1
Vytautas Kavolis,,1,,0
Dennis Brissett,,1,,0
Jane W. Loeb,Marianne A. Ferber,1,1,1
Edward A. Tiryakian,,1,,0
L. Paul Metzger,,1,,0
James Q. Wilson,,1,,0
C. Norman Alexander Jr.,,1,,0
Bruce H. Mayhew Jr.,Thomas F. James,2,1,1
Bruce H. Mayhew Jr.,Grant W. Childers,2,2,2
Grant W. Childers,Thomas F. James,2,1,1
A. P. Garbin,John A. Ballweg,1,1,1
Paul H. Besanceney,,1,,0
Julian L. Simon,,1,,0
David Rodney Watson,Gale Peter Largey,1,1,1
Harrison C. White,,2,,0
Ralph H. Turner,,1,,0
Carol Ehrlich,,1,,0
Joel I. Nelson,,2,,0
James Tucker,S. Thomas Friedman,1,1,1
John Y. Takeshita,Ronald Freedman,1,2,1
Ronald Freedman,T. H. Sun,2,1,1
John Y. Takeshita,T. H. Sun,1,1,1
Robert Sokol,,1,,0
Leon Mann,,1,,0
Deborah Eifler,Lenore J. Weitzman,1,1,1
Elizabeth Hokada,Lenore J. Weitzman,1,1,1
Catherine Ross,Lenore J. Weitzman,1,1,1
Deborah Eifler,Elizabeth Hokada,1,1,1
Catherine Ross,Deborah Eifler,1,1,1
Catherine Ross,Elizabeth Hokada,1,1,1
Erwin L. Linn,,1,,0
Edward O. Laumann,,2,,0
Howard Schuman,,3,,0
David Cohen,,1,,0
Julian Roebuck,S. Lee Spray,1,1,1
Donald S. Bradley,Mayer N. Zald,1,3,1
Robert A. Gordon,,2,,0
Bengt Abrahamsson,,1,,0
Ronald A. Feldman,,1,,0
Leroy C. Gould,,1,,0
Zena Smith Blau,,1,,0
Roland K. Hawkes,,2,,0
William R. Burch Jr.,,1,,0
Harvey Molotch,,2,,0
Stanley Lieberson,,4,,0
Murray A. Straus,,1,,0
Gaye Tuchman,,2,,0
Carmi Schooler,,2,,0
Betty Frankle Kirschner,,1,,0
Klaus Roghmann,Wolfgang Sodeur,1,1,1
G. R. Boynton,Samuel C. Patterson,1,1,1
Ronald D. Hedlund,Samuel C. Patterson,1,1,1
G. R. Boynton,Ronald D. Hedlund,1,1,1
Wilder W. Crane,William H. Hunt,1,1,1
John C. Wahlke,William H. Hunt,1,1,1
John C. Wahlke,Wilder W. Crane,1,1,1
Peter M. Blau,,1,,0
Leo A. Goodman,,6,,0
Murray Melbin,,1,,0
Ira Rosenwaike,,1,,0
Charles D. Bolton,,1,,0
Harriet A. Zuckerman,,1,,0
Ralph Underhill,,1,,0
Everett Carll Ladd Jr.,Seymour Martin Lipset,1,1,1
Barbara Laslett,,1,,0
Erich Goode,,2,,0
Patricia Hodge,Robert W. Hodge,2,4,2
Conrad M. Arensberg,Solon T. Kimball,1,1,1
N. Krishnan Namboodiri,,1,,0
Edward L. McDill,Leo C. Rigsby,1,1,1
Edmund D. Meyers Jr.,Edward L. McDill,1,1,1
Edmund D. Meyers Jr.,Leo C. Rigsby,1,1,1
S. R. Klatzky,,1,,0
Herbert J. Gans,,2,,0
Helen MacGill Hughes,,1,,0
