source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Kingsley Davis,,1,,demography,,Davis,,0
Ronald Freedman,,1,,famplan,,Freedman,,0
Nathan Keyfitz,,1,,demography,,Keyfitz,,0
Norman B. Ryder,,1,,demography,,Ryder,,0
Paul Demeny,,2,,demography,,Demeny,,0
Nizamuddin Khan,T. K. Roy,1,4,famplan,famplan,,,1
F. Ram,Nizamuddin Khan,1,1,famplan,famplan,,,1
Nizamuddin Khan,Parveen Nangia,1,1,famplan,famplan,,,1
Nizamuddin Khan,Uma Saha,1,1,famplan,famplan,,,1
Bridget K. Gorman,Stephanie A. Bohon,4,1,demography,demography,,,1
Christopher Prinz,Jean-Pierre Gonnot,3,1,demography,demography,,,1
Christopher Prinz,Nico Keilman,3,6,demography,demography,,,1
Anna Wils,Christopher Prinz,1,3,demography,demography,,,1
Christopher Prinz,F. Landis Mackellar,3,3,demography,demography,,,1
Christopher Prinz,Wolfgang Lutz,3,13,demography,general,,,1
Anne Goujon,Christopher Prinz,4,3,demography,demography,,,1
Jianguo Liu,Zhiyun Ouyang,3,1,demography,demography,,,1
Yingchun Tan,Zhiyun Ouyang,1,1,demography,demography,,,1
Jian Yang,Zhiyun Ouyang,1,1,demography,demography,,,1
Heming Zhang,Zhiyun Ouyang,1,1,demography,demography,,,1
James W. Curtsinger,James W. Vaupel,1,13,general,general,,,1
James R. Carey,James W. Curtsinger,6,1,general,general,,,1
James W. Curtsinger,Kaare Christensen,1,4,general,general,,,1
James W. Curtsinger,Thomas E. Johnson,1,1,general,general,,,1
Anatoli I. Yashin,James W. Curtsinger,3,1,demography,general,,,1
James W. Curtsinger,Niels V. Holm,1,1,general,general,,,1
Ivan A. Iachine,James W. Curtsinger,2,1,general,general,,,1
James W. Curtsinger,VäInö Kannisto,1,1,general,general,,,1
Aziz A. Khazaeli,James W. Curtsinger,1,1,general,general,,,1
James W. Curtsinger,Pablo Liedo,1,2,general,general,,,1
James W. Curtsinger,Valter D. Longo,1,1,general,general,,,1
James W. Curtsinger,Yi Zeng,1,3,general,general,,,1
James W. Curtsinger,Kenneth G. Manton,1,6,general,general,,,1
Elizabeth Thomson,Yvonne Brandreth,6,1,famplan,demography,,,1
A.C. Liefbroer,Aat C. Liefbroer,1,1,eugenics,eugenics,,,1
A.C. Liefbroer,KÈNe Henkens,1,2,eugenics,eugenics,,,1
John S. Santelli,Michael Resnick,6,1,famplan,famplan,,,1
Laura Duberstein Lindberg,Michael Resnick,5,1,demography,famplan,,,1
Joyce Abma,Michael Resnick,2,1,famplan,famplan,,,1
Clea Sucoff Mcneely,Michael Resnick,2,1,demography,famplan,,,1
Noreen Goldman,Shigesato Takahashi,7,1,eugenics,demography,,,1
Shigesato Takahashi,Yuanreng Hu,1,1,demography,demography,,,1
Ian Diamond,Zoe Matthews,9,3,demography,eugenics,,,1
Paula Griffiths,Zoe Matthews,1,3,demography,eugenics,,,1
Andrew Hinde,Zoe Matthews,2,3,demography,eugenics,,,1
Nyovani J. Madise,Zoe Matthews,1,3,demography,eugenics,,,1
Barrie Margetts,Zoe Matthews,1,3,demography,eugenics,,,1
Lisa D. Pearce,William G. Axinn,2,12,sociology,sociology,,,1
Jennifer S. Barber,Lisa D. Pearce,8,2,sociology,sociology,,,1
Indra Chaudhury,Lisa D. Pearce,1,2,sociology,sociology,,,1
Lisa D. Pearce,Susan Gurung,2,1,sociology,sociology,,,1
Hugh Davies,Romana Peronaci,1,1,demography,demography,,,1
Heather Joshi,Romana Peronaci,4,1,demography,demography,,,1
Dianne F. Harrison,Hosanna Soler,3,2,famplan,famplan,,,2
David Quadagno,Dianne F. Harrison,3,3,famplan,famplan,,,3
David F. Sly,Dianne F. Harrison,3,3,famplan,famplan,,,3
Dianne F. Harrison,Kara S. Riehman,3,2,famplan,famplan,,,2
