source,target,scount,tcount,weight
S. N. Eisenstadt,,3,,0
John P. Hewitt,Peter M. Hall,1,1,1
Judy Corder Tully,Marvin E. Olsen,1,4,1
Leo Srole,,1,,0
Jon P. Miller,,1,,0
F. Lancaster Jones,Leonard Broom,2,3,2
Edna E. Raphael,,1,,0
Brenda Danet,Elihu Katz,2,2,1
Merlyn Matthews,Robert K. Leik,1,3,1
E. V. Walter,,1,,0
Derek L. Phillips,Kevin J. Clancy,4,2,2
Desmond Ellis,,1,,0
Harry M. Scoble,Robert R. Alford,1,2,1
Saburo Yasuda,,1,,0
Charles E. Werts,Robert L. Linn,2,2,2
Robert H. Lauer,,2,,0
Robert E. Cole,,1,,0
Glen H. Elder Jr.,,3,,0
R. J. Smircich,William R. Catton Jr.,1,1,1
Jerome G. Manis,Milton J. Brawer,1,4,1
Chester L. Hunt,Jerome G. Manis,1,1,1
Jerome G. Manis,Leonard C. Kercher,1,1,1
Chester L. Hunt,Milton J. Brawer,1,4,1
Leonard C. Kercher,Milton J. Brawer,1,4,1
Chester L. Hunt,Leonard C. Kercher,1,1,1
William H. Form,,3,,0
Florence Rosenberg,Roberta G. Simmons,1,2,1
Morris Rosenberg,Roberta G. Simmons,2,2,2
Florence Rosenberg,Morris Rosenberg,1,2,1
David Street,,1,,0
M. Herbert Danzger,,1,,0
Don Bushell Jr.,Robert L. Burgess,1,1,1
Elton F. Jackson,William S. Fox,5,1,1
Elton F. Jackson,Harry J. Crockett Jr.,5,2,2
Harry J. Crockett Jr.,William S. Fox,2,1,1
Robert Hagedorn,Sanford Labovitz,1,3,1
Morris F. Friedell,,1,,0
Frank P. Stafford,John F. Marsh Jr.,1,1,1
William J. Goode,,2,,0
Jerald Hage,Michael Aiken,5,5,4
Sarah L. Boggs,,1,,0
David L. Featherman,,4,,0
John H. Barnsley,,1,,0
Kenneth D. Bailey,,1,,0
David Britt,Omer R. Galle,1,2,1
Elihu Katz,Hadassah Haas,2,1,1
Elihu Katz,Michael Gurevitch,2,1,1
Hadassah Haas,Michael Gurevitch,1,1,1
James Petras,Maurice Zeitlin,1,2,1
Charles N. Halaby,,1,,0
Rodolfo Alvarez,,1,,0
Charles Westie,Victor Matthews,1,1,1
Thomas K. Burch,,1,,0
Andrew M. Greeley,Seymour Warkov,2,1,1
Seymour Spilerman,,5,,0
Kurt Mayer,Sidney Goldstein,2,2,2
Ralph H. Turner,Vincent Jeffries,2,1,1
Richard T. Morris,Vincent Jeffries,1,1,1
Ralph H. Turner,Richard T. Morris,2,1,1
Beverly Duncan,,2,,0
Anita Gershenovitz,Charles V. Willie,1,1,1
Gerald Marwell,,2,,0
Jeffery M. Paige,,1,,0
Riley Dunlap,,1,,0
Edward Shils,,1,,0
John D. Allingham,,1,,0
Joel I. Nelson,,3,,0
Lee Freese,,2,,0
Arvin W. Murch,,1,,0
Guenther Roth,,1,,0
Gerhard Lenski,,1,,0
James D. Thompson,Kenneth McNeil,1,1,1
Ralf Dahrendorf,,1,,0
E. Michael Bannester,,1,,0
Bruce H. Mayhew,Roger L. Levinger,2,1,1
Bruce H. Mayhew,J. Miller McPherson,2,1,1
Bruce H. Mayhew,Thomas F. James,2,2,1
J. Miller McPherson,Roger L. Levinger,1,1,1
Roger L. Levinger,Thomas F. James,1,2,1
J. Miller McPherson,Thomas F. James,1,2,1
Janet L. Abu-Lughod,,1,,0
Mark Abrahamson,,1,,0
Whitney Pope,,1,,0
Edward A. Holdaway,Thomas A. Blowers,1,1,1
Richard F. Hamilton,,3,,0
Randall Collins,,2,,0
Richard H. Hall,,2,,0
Mary R. Jackman,,4,,0
J. David Edelstein,,1,,0
Richard A. Rehberg,Walter E. Schafer,2,1,1
Judie Sinclair,Richard A. Rehberg,1,2,1
Judie Sinclair,Walter E. Schafer,1,1,1
Gerald Marwell,Jerald Hage,2,5,1
Lois-Ellin Datta,,1,,0
Alex Carey,,1,,0
David W. Minar,,1,,0
James A. Davis,,2,,0
Max Heirich,,1,,0
J. David Martin,,2,,0
Cora Bagley Marrett,Jerald Hage,2,5,2
Cora Bagley Marrett,Michael Aiken,2,5,2
Howard J. Ehrlich,Mary Lou Bauer,1,1,1
Rhona Rapoport,Robert Rapoport,1,1,1
H. Warren Dunham,,2,,0
Donald I. Warren,,1,,0
Neil W. Henry,Norman P. Hummon,1,2,1
Carmi Schooler,Melvin L. Kohn,2,4,2
Maurice Zeitlin,,2,,0
Frank Cancian,,1,,0
Arthur S. Goldberger,,1,,0
Daniel R. Goldman,,1,,0
Keith F. Otterbein,,1,,0
E. A. Holdaway,T. A. Blowers,1,1,1
Edward A. Tiryakian,,1,,0
W. Penn Handwerker,,1,,0
Jack P. Gibbs,,5,,0
John H. Kunkel,Richard H. Nagasawa,1,1,1
Miles E. Simpson,,2,,0
Michael Fullan,,1,,0
Calvin F. Schmid,Charles E. Nobbe,2,1,1
Richard A. Ball,,1,,0
Charles R. Wright,Herbert H. Hyman,1,1,1
Ray H. Elling,,1,,0
Charles E. Werts,Karl G. Jöreskog,2,1,1
Karl G. Jöreskog,Robert L. Linn,1,2,1
John P. Clark,Larry L. Tifft,1,1,1
Allan Mazur,,3,,0
Wilbert E. Moore,,3,,0
Olaf F. Larson,Ruth C. Young,1,1,1
Robert M. Marsh,William L. Parish,1,1,1
A. Lewis Rhodes,Charles B. Nam,1,2,1
Ira L. Reiss,,3,,0
William Erbe,,1,,0
Edward O. Laumann,Louis Guttman,4,1,1
Richard P. Boyle,,1,,0
Milton J. Brawer,Peter Y. DeJong,4,2,2
Peter Y. DeJong,Stanley S. Robin,2,2,2
Milton J. Brawer,Stanley S. Robin,4,2,2
Elizabeth G. Cohen,Susan S. Roper,1,1,1
James F. Short Jr.,Ramon Rivera,1,1,1
James F. Short Jr.,Ray A. Tennyson,1,1,1
Ramon Rivera,Ray A. Tennyson,1,1,1
Richard A. Rehberg,,2,,0
Peter J. Burke,,2,,0
Jeanne E. Gullahorn,John T. Gullahorn,1,1,1
Bruce H. Mayhew,,2,,0
Manfred Stanley,,1,,0
Ronald G. Corwin,,1,,0
Leo A. Goodman,,2,,0
Lincoln H. Day,,1,,0
Michael Mann,,1,,0
Gordon H. Lewis,,4,,0
Benton Johnson,,2,,0
Gerald E. Markle,Roland J. Chilton,1,3,1
Walter D. Connor,,2,,0
David L. Altheide,Robert P. Gilmore,1,1,1
John Porter,,1,,0
Lyle G. Warner,Melvin L. DeFleur,1,3,1
Zick Rubin,,1,,0
Edna Bonacich,,2,,0
H. Edward Ransford,,1,,0
Diana Crane,,2,,0
Jeffrey M. Paige,,2,,0
Bruce P. Dohrenwend,Edwin Chin-Shong,2,1,1
Brenda Danet,,2,,0
Robert McGinnis,,1,,0
Jack Sawyer,Margaret A. Parkman,1,1,1
Lawrence D. Haber,Richard T. Smith,1,1,1
Gary B. Rush,,1,,0
Barbara Jacobson,John M. Kendrick,1,1,1
Foster G. Dieckhoff,,1,,0
Keith Hope,,2,,0
Kenneth Kammeyer,,1,,0
David R. Heise,,3,,0
Robert I. Rhodes,,1,,0
Michael Aiken,Robert R. Alford,5,2,1
Gary Cyphers,Robert Brannon,1,1,1
Robert Brannon,Sharlene Hesse,1,1,1
Robert Brannon,Susan Hesselbart,1,1,1
Robert Brannon,Roberta Keane,1,1,1
Howard Schuman,Robert Brannon,3,1,1
Robert Brannon,Thomas Viccaro,1,1,1
Diana Wright,Robert Brannon,1,1,1
Gary Cyphers,Sharlene Hesse,1,1,1
Gary Cyphers,Susan Hesselbart,1,1,1
Gary Cyphers,Roberta Keane,1,1,1
Gary Cyphers,Howard Schuman,1,3,1
Gary Cyphers,Thomas Viccaro,1,1,1
Diana Wright,Gary Cyphers,1,1,1
Sharlene Hesse,Susan Hesselbart,1,1,1
Roberta Keane,Sharlene Hesse,1,1,1
Howard Schuman,Sharlene Hesse,3,1,1
Sharlene Hesse,Thomas Viccaro,1,1,1
Diana Wright,Sharlene Hesse,1,1,1
Roberta Keane,Susan Hesselbart,1,1,1
Howard Schuman,Susan Hesselbart,3,1,1
Susan Hesselbart,Thomas Viccaro,1,1,1
Diana Wright,Susan Hesselbart,1,1,1
Howard Schuman,Roberta Keane,3,1,1
Roberta Keane,Thomas Viccaro,1,1,1
Diana Wright,Roberta Keane,1,1,1
Howard Schuman,Thomas Viccaro,3,1,1
Diana Wright,Howard Schuman,1,3,1
Diana Wright,Thomas Viccaro,1,1,1
Charles E. Hurst,,1,,0
Donald McIntosh,,1,,0
Alma F. Taeuber,Karl E. Taeuber,1,2,1
Robert H. Somers,,1,,0
Thomas J. Scheff,,1,,0
Joseph Lopreato,Lawrence E. Hazelrigg,5,1,1
G. Edward Stephan,,2,,0
Milton Bloombaum,,1,,0
Philip D. Roos,,1,,0
Egon Bittner,,1,,0
David Yaukey,William Griffiths,1,1,1
Beryl J. Roberts,David Yaukey,1,1,1
Beryl J. Roberts,William Griffiths,1,1,1
Alan Booth,,3,,0
Louis G. Vargo,,1,,0
Charles R. Tittle,,1,,0
Herman R. Lantz,Raymond Schmitt,1,1,1
Herman R. Lantz,Margaret Britton,1,1,1
Eloise C. Snyder,Herman R. Lantz,1,1,1
Margaret Britton,Raymond Schmitt,1,1,1
Eloise C. Snyder,Raymond Schmitt,1,1,1
Eloise C. Snyder,Margaret Britton,1,1,1
Leslie G. Carr,,2,,0
Norman K. Denzin,,1,,0
Wan Sang Han,,1,,0
Sanford Labovitz,,3,,0
Darwin L. Thomas,,2,,0
Charles P. Loomis,,3,,0
Herbert McClosky,John H. Schaar,2,2,2
James S. Coleman,,2,,0
Kenneth C. Land,,1,,0
Robert R. Blain,,1,,0
Howard Schuman,,3,,0
Janet Saltzman Chafetz,Joseph Lopreato,2,5,2
James E. Teele,Sydney H. Croog,1,1,1
Hubert M. Blalock Jr.,,2,,0
Fred L. Strodtbeck,William Bezdek,1,1,1
Arthur L. Stinchcombe,,1,,0
Glenn V. Fuguitt,,1,,0
Irene Taviss,,1,,0
Gordon H. Lewis,Joseph B. Kadane,4,2,2
Jack P. Gibbs,Walter T. Martin,5,1,1
Rosabeth Moss Kanter,,1,,0
Theodore D. Kemper,,2,,0
