source,target,scount,tcount,weight
Otis Dudley Duncan,,4,,0
William Haenszel,,1,,0
Arthur J. Norton,Paul C. Glick,1,4,1
Arlyne I. Pozner,,1,,0
Paul Demeny,,3,,0
Richard Warren Osborn,,1,,0
Charles B. Nam,John K. Folger,4,2,2
William Petersen,,1,,0
N. D. Diamantides,,1,,0
H. K. Toppozada,,1,,0
Patience Lauriat,,1,,0
Harry M. Raulet,,1,,0
Lincoln H. Day,,1,,0
G. B. Joshi,T. G. Beynon,1,1,1
F. K. Pierre-Pierre,T. G. Beynon,1,1,1
F. K. Pierre-Pierre,G. B. Joshi,1,1,1
J. Richard Udry,Karl E. Bauman,3,2,1
Albert Chevan,,1,,0
David P. Marple,,1,,0
H. Yuan Tien,,3,,0
A. Majeed Khan,Harvey M. Choldin,1,3,1
Nathan Keyfitz,,6,,0
Leon F. Bouvier,,2,,0
Ruth Loeb,,1,,0
Paul C. Glick,Robert Parke Jr.,4,2,1
Leo A. Schuerman,Maurice D. Van Arsdol Jr.,1,2,1
Leo F. Schnore,,4,,0
Larry H. Long,,3,,0
Anibal Faundes,German Rodriguez-Galant,1,2,1
Anibal Faundes,Onofre Avendano,1,1,1
German Rodriguez-Galant,Onofre Avendano,2,1,1
Donald B. Pittenger,,1,,0
Thomas K. Burch,,2,,0
B. L. Agrawal,H. Bradley Wells,1,1,1
Christopher Scott,Georges Sabagh,1,3,1
Francis C. Madigan,,1,,0
Juan B. Londono,Mario Jaramillo-Gomez,1,2,1
John J. Macisco Jr.,Robert H. Weller,1,5,1
George R. Martine,Robert H. Weller,1,5,1
George R. Martine,John J. Macisco Jr.,1,1,1
Nadia H. Youssef,,1,,0
Maria Davidson,,2,,0
Judith Blake,Prithwis Das Gupta,4,3,2
P. E. White,R. V. Rider,1,1,1
A. Rasheed Ghazi,R. V. Rider,1,1,1
P. A. Harper,R. V. Rider,1,1,1
A. Rasheed Ghazi,P. E. White,1,1,1
P. A. Harper,P. E. White,1,1,1
A. Rasheed Ghazi,P. A. Harper,1,1,1
Frank E. Horton,Lawrence A. Brown,2,3,2
Lawrence A. Brown,Robert I. Wittick,3,2,2
Frank E. Horton,Robert I. Wittick,2,2,2
David L. Kaplan,,1,,0
Alan F. Guttmacher,Fredrick S. Jaffe,1,1,1
Josiah C. Russell,,2,,0
Marvin McInnis,,1,,0
J. Gilbert Hardee,S. A. Jafarey,1,1,1
A. P. Satterthwaite,S. A. Jafarey,1,1,1
A. P. Satterthwaite,J. Gilbert Hardee,1,1,1
S. Mitra,,3,,0
Lee-Jay Cho,Man Jun Hahm,3,1,1
Lee Jay Cho,,2,,0
Pascal K. Whelpton,,1,,0
Judith Blake,,4,,0
Jesus Rico-Velasco,Kent P. Schwirian,1,1,1
Brajesh Bhatia,Dinesh C. Dubey,1,1,1
Avtar K. Devgan,Brajesh Bhatia,1,1,1
