source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
Studies in Family Planning,,388,,famplan,,Studies in FP,,0
Transactions of the Faculty of Actuaries,,1,,statistics,,Actuaries,,0
William and Mary Quarterly,,19,,history,,WMQ,,0
Social Forces,,110,,sociology,,Social Forces,,0
AAAPSS,,76,,general,,AAAPSS,,0
Journal of Marriage and Family,,213,,demography,,JMF,,0
GeoJournal,,52,,geography,,GeoJournal,,0
American Economic Review,,68,,economics,,AER,,0
Journal of Economic History,,72,,history,,JEH,,0
Population Index,,57,,demography,,Pop. Index,,0
American Journal of Sociology,,81,,sociology,,AJS,,0
Social Science History,,44,,history,,SSH,,0
Population Studies,,312,,demography,,Pop. Studies,,0
Social Indicators Research,,78,,general,,Soc. Ind.,,0
American Journal of Agricultural Economics,,43,,economics,,Ag. Econ.,,0
Public Health Reports,,135,,pubh,,PHR,,0
Science,,59,,general,,Science,,0
Economic Geography,,46,,geography,,Econ. Geo.,,0
PDR,,323,,demography,,PDR,,0
Human Biology,,141,,eugenics,,Human Biology,,0
Economic Development and Cultural Change,,107,,economics,,Econ. Dev.,,0
Demography,,379,,demography,,Demography,,0
Population and Environment,,51,,demography,,Pop. Env.,,0
Journal of Social History,,47,,history,,Social Hist.,,0
Genus,,76,,eugenics,,Genus,,0
J. of the American Statistical Association,,30,,statistics,,JASA,,0
PNAS,,10,,general,,PNAS,,0
Journal of Interdisciplinary History,,92,,history,,JIH,,0
International Migration Review,,279,,demography,,IMR,,0
American Sociological Review,,93,,sociology,,ASR,,0
Biometrika,,1,,eugenics,,Biometrika,,0
Economic History Review,,27,,history,,EHR,,0
PRPR,,26,,demography,,PRPR,,0
Family Planning Perspectives,,352,,famplan,,FP Perspectives,,0
Biometrics,,17,,eugenics,,Biometrics,,0
International FP Perspectives,,178,,famplan,,Intl. FP,,0
Human Biology,Population Studies,141,312,eugenics,demography,Human Biology,Pop. Studies,4
Human Biology,PNAS,141,10,eugenics,general,Human Biology,PNAS,3
PNAS,Population Studies,10,312,general,demography,PNAS,Pop. Studies,2
Demography,International FP Perspectives,379,178,demography,famplan,Demography,Intl. FP,17
Demography,PRPR,379,26,demography,demography,Demography,PRPR,10
Demography,Social Forces,379,110,demography,sociology,Demography,Social Forces,37
International FP Perspectives,PRPR,178,26,famplan,demography,Intl. FP,PRPR,4
International FP Perspectives,Social Forces,178,110,famplan,sociology,Intl. FP,Social Forces,4
PRPR,Social Forces,26,110,demography,sociology,PRPR,Social Forces,2
AAAPSS,American Journal of Agricultural Economics,76,43,general,economics,AAAPSS,Ag. Econ.,1
Demography,Genus,379,76,demography,eugenics,Demography,Genus,13
Genus,Population Studies,76,312,eugenics,demography,Genus,Pop. Studies,10
Demography,Population Studies,379,312,demography,demography,Demography,Pop. Studies,54
Family Planning Perspectives,International FP Perspectives,352,178,famplan,famplan,FP Perspectives,Intl. FP,39
