year,social,migration,gsouth,survey,quant,mortality,fertility,dtrans,fam,devel,biodemog,theory,articles
1965,0.0391880907121,0.0889955930263,0.0212051267422,0.260054147403,0.260104914747,0.013607681731,0.153786822305,0.0383246442753,0.0238522023308,0.046159795194,0.000385991973462,0.0543349895599,1210
1966,0.0334992746998,0.0857079318353,0.0247021973561,0.27484151987,0.259942626752,0.0148564654146,0.148042984542,0.0376874800084,0.0292654255127,0.0427328508798,0.000754667574701,0.0479665755546,1600
1967,0.0339871600886,0.0686457813565,0.024806569274,0.227327427198,0.220108611077,0.0127112991983,0.193897104436,0.0385546276817,0.0260890884155,0.0822901397251,0.00121677826834,0.0703654132819,1990
1968,0.0436107456174,0.0723735148368,0.0273754232315,0.191258179507,0.233681337788,0.012190347867,0.208121978897,0.0392501052753,0.0284984598219,0.0766590896239,0.00147232303129,0.0655084945028,1890
1969,0.0521494373818,0.0607316581064,0.0210975440092,0.123861273164,0.262309088949,0.0161867847635,0.234838306853,0.0430836375728,0.0289217333571,0.0874058153882,0.00123186491256,0.0681828555424,1600
1970,0.0809828598632,0.0905817917561,0.0140518450409,0.0907557884026,0.340990176493,0.0200477538299,0.200966172924,0.0442110225636,0.0341931139408,0.0389059644618,0.00150871564181,0.0428047950823,1250
1971,0.0962565790573,0.0883210006928,0.0050910371837,0.0845170442983,0.356141253906,0.0219039298171,0.177983307367,0.038070602165,0.0368008020139,0.0506716619966,0.00178976837898,0.0424530131239,1450
1972,0.0931523889172,0.0899276524529,0.00621009916896,0.086930870052,0.349198691112,0.0199138994527,0.180828408952,0.0414591438709,0.0302269812696,0.0507210744337,0.00216031430818,0.0492704760104,1530
1973,0.0782865554029,0.0836518202591,0.0130831455835,0.0888192133522,0.355598412659,0.0176350960372,0.181357921586,0.0463458843836,0.032007307108,0.051208344941,0.00309445355829,0.0489118451285,1570
1974,0.0635040971287,0.077155733892,0.0159414029183,0.0831309419792,0.351908966713,0.0144622781946,0.195237816207,0.0573110926849,0.0276579226058,0.0506591189926,0.00315590799773,0.0598747206862,1560
