doc,aid,journal,year,authors,title
1,10.2307/2172493,Population Studies,1949,Elizabeth Lessof,Mortality in New Zealand and England and Wales
2,10.2307/4137199,Demography,2006,Sunita Kishor,Reproductive Health and Domestic Violence: Are the Poorest Women Uniquely Disadvantaged?
3,10.2307/2060183,Demography,1966,H. T. Croley,Characteristics and Utilization of Midwives in a Selected Rural Area of East Pakistan
4,10.2307/2061290,Demography,1988,Sheila Fitzgerald Krein,Educational Attainment of Children From Single-Parent Families: Differences by Exposure_ Gender_ and Race
5,10.2307/1973481,Population and Development Review,1985,,Peru's National Population Policy Law
6,10.2307/2061686,Demography,1995,Arleen Leibowitz,Explaining Changes in Married Mothers' Employment over Time
7,10.2307/2060088,Demography,1969,Norman B. Ryder,Fertility Planning Status: United States_ 1965
8,10.2307/3092789,Population and Development Review,2002,,Oswald Spengler on Cosmopolis and Depopulation
9,10.2307/2060329,Demography,1967,Sidney Goldstein,Premarital Pregnancies and Out-of-Wedlock Births in Denmark_ 1950-65
10,10.2307/2060254,Demography,1968,S. Chandrasekhar,How India is Tackling her Population Problem
11,10.2307/3401492,Population and Development Review,2005,,Poverty_ Infectious Disease_ and Environmental Degradation as Threats to Collective Security: A UN Panel Report
12,10.2307/25487662,Population and Development Review,2009,Steven Ruggles,Reconsidering the Northwest European Family System: Living Arrangements of the Aged in Comparative Historical Perspective
13,10.2307/2060040,Demography,1964,Surinder K. Mehta,Some Demographic and Economic Correlates of Primate Cities: A Case for Revaluation
14,10.2307/3401497,Population and Development Review,2004,Kevin McQuillan,When Does Religion Influence Fertility?
15,10.2307/2061025,Demography,1984,G. Edward Stephan,Population Redistribution and Changes in the Size-Density Slope
16,10.2307/3092960,Population Studies,2001,Nico Keilman,Data Quality and Accuracy of United Nations Population Projections_ 1950-95
17,10.2307/2172588,Population Studies,1964,Gwendolyn Z. Johnson,Health Conditions in Rural and Urban Areas of Developing Countries
18,10.2307/2060689,Demography,1971,Susan Hill Cochrane,Mortality Level_ Desired Family Size_ and Population Increase: Comment
19,10.2307/2175223,Population Studies,1993,Michael Anderson,High Fertility_ High Emigration_ Low Nuptiality: Adjustment Processes in Scotland's Demographic Experience_ 1861-1914_ Part I
20,10.2307/2172839,Population Studies,1963,W. H. James,Correction: Estimates of Fecundability
21,10.2307/25487666,Population and Development Review,2009,Linda G. Martin,Interventions to Improve Late Life
22,10.2307/20058904,Population and Development Review,2006,Samuel H. Preston,Black Mortality at Very Old Ages in Official Us Life Tables: A Skeptical Appraisal
23,10.2307/1971860,Population and Development Review,1992,John Knodel,The Impact of Fertility Decline on Familial Support for the Elderly: An Illustration from Thailand
24,10.2307/2061815,Demography,1993,H. Elizabeth Peters,Enforcing Divorce Settlements: Evidence from Child Support Compliance and Award Modifications
25,10.2307/2060507,Demography,1976,S. Mitra,Influence of Instantaneous Fertility Decline to Replacement Level on Population Growth: An Alternative Model
26,10.2307/1973434,Population and Development Review,1986,Ronald Skeldon,On Migration Patterns in India during the 1970s
27,10.2307/1972768,Population and Development Review,1981,[Warren S. Thompson],Population and Resources in Japan: A 1949 Forecast
28,10.2307/1972352,Population and Development Review,1991,Harriet B. Presser,Economic Development and Occupational Sex Segregation in Puerto Rico: 1950-80
29,10.2307/2060824,Demography,1975,Ronald Freedman,Do Statements About Desired Family Size Predict Fertility? The Case of Taiwan_ 1967-1970
