text,size,topic
people,0.00872059731523,22
time,0.00773749435967,22
society,0.00708146819695,22
work,0.0057444481774,22
long,0.00488930465415,22
made,0.00466272283011,22
life,0.00448357962487,22
case,0.0044673506237,22
part,0.0043287799214,22
present,0.00393678712388,22
fact,0.00392867262329,22
human,0.00382193573098,22
problem,0.00375077780276,22
view,0.00372456172395,22
means,0.00368523760573,22
individual,0.00359909906105,22
make,0.00359597809929,22
point,0.0034624009358,22
great,0.00326328357528,22
political,0.00315904345237,22
terms,0.00309974517886,22
greater,0.00306728717652,22
order,0.0029605502842,22
poor,0.00283134246719,22
question,0.00280512638837,22
found,0.0027876490025,22
system,0.00274645230722,22
american,0.00257542360257,22
situation,0.00255170429316,22
power,0.00252673659905,22
man,0.00252111886788,22
difficult,0.00251612532906,22
nature,0.00251362855965,22
interest,0.00249615117377,22
place,0.00249490278906,22
good,0.00245682705555,22
state,0.00242749001497,22
form,0.00232949181559,22
numbers,0.00228517415855,22
end,0.00227643546561,22
set,0.00226894515738,22
free,0.00221401623033,22
world,0.00221214365328,22
position,0.00217032276564,22
strong,0.00216345664976,22
science,0.00215721472624,22
common,0.00211102449213,22
individuals,0.00210665514566,22
progress,0.0020573439498,22
discussion,0.00199242794511,22
culture,0.00196995702042,22
short,0.0019437409416,22
reason,0.00188506686044,22
natural,0.00183950081869,22
hand,0.00183762824164,22
modern,0.00179206219989,22
times,0.00179081381518,22
making,0.00175773162049,22
knowledge,0.00173838165755,22
malthus,0.00173276392638,22
subject,0.00171653492521,22
find,0.00170842042462,22
ways,0.00169656076992,22
considered,0.00169593657757,22
larger,0.00166972049875,22
matter,0.00166659953699,22
sense,0.00166410276758,22
circumstances,0.00166035761346,22
relations,0.00163913507347,22
article,0.00161791253347,22
give,0.00161042222524,22
today,0.00160917384054,22
respect,0.00160293191701,22
factor,0.00158670291584,22
called,0.00157109810702,22
turn,0.00154862718232,22
longer,0.00154613041291,22
questions,0.00153864010468,22
personal,0.00152865302703,22
argument,0.00151866594939,22
problems,0.00151804175704,22
influence,0.00151616917998,22
thought,0.00146498540705,22
material,0.00145749509882,22
reasons,0.00143689675118,22
institutions,0.00143377578942,22
lead,0.00142753386589,22
led,0.00142566128883,22
western,0.00142316451942,22
increasingly,0.00141879517295,22
clear,0.0014181709806,22
day,0.00141130486472,22
involved,0.00140506294119,22
degree,0.00138196782414,22
put,0.00137947105473,22
simply,0.00137697428532,22
true,0.00136386624591,22
mass,0.00133827435945,22
brought,0.00133140824357,22
land,0.00132953566651,22
