doc,year,authors,title,journal,topic,pct,firsttop,firstpct,secondtop,secondpct
2172294,1950,A. Henderson,The Cost Of Children. Parts Ii And Iii,Population Studies,topic 29,0.234544774111,topic 9,0.371001074583,topic 17,0.177245545283
2171997,1952,Alan T. Peacock,Theory Of Population And Modern Economic Analysis. I,Population Studies,topic 29,0.475847564517,topic 22,0.391761664239,topic 9,0.0854963766199
2172481,1954,Alan T. Peacock,Theory Of Population And Modern Economic Analysis. Ii,Population Studies,topic 29,0.448614515189,topic 22,0.409710987561,topic 9,0.0577317638011
2172464,1955,J. J. Spengler,Marshall On The Population Question. I,Population Studies,topic 29,0.354251957436,topic 22,0.427847633419,topic 9,0.174040931238
2172108,1957,Bert F. Hoselitz,Population Pressure_ Industrialization And Social Mobility,Population Studies,topic 29,0.205734256644,topic 10,0.279309131241,topic 22,0.207586016883
2060114,1965,Paul Demeny,Investment Allocation And Population Growth,Demography,topic 29,0.488470711113,topic 22,0.245950032311,topic 6,0.0889174294195
2060068,1966,Richard A. Easterlin,On The Relation Of Economic Factors To Recent And Projected Fertility Changes,Demography,topic 29,0.267512161375,topic 16,0.330510929811,topic 28,0.213780255485
2060316,1967,John V. D. Saunders,Demographic And Economic Correlates Of Development As Measured By Energy Consumption,Demography,topic 29,0.225991636018,topic 6,0.254902794034,topic 7,0.143659635918
2060218,1968,Leonard G. Bower,The Return From Investment In Population Control In Less Developed Countries,Demography,topic 29,0.546159433792,topic 22,0.17470086975,topic 28,0.0976794902731
2172883,1969,Peter J. Lloyd,A Growth Model With Population As An Endogenous Variable,Population Studies,topic 29,0.55324877765,topic 6,0.251243442105,topic 16,0.0528127213132
2060156,1970,Julian L. Simon,The Per-Capita-Income Criterion And Natality Policies In Poor Countries,Demography,topic 29,0.559197778588,topic 22,0.230390532443,topic 3,0.0995894347434
2172756,1971,Harvey Leibenstein,A Final Remark On Pitfalls,Population Studies,topic 29,0.429570776127,topic 22,0.402331184478,topic 21,0.0562661717182
2060636,1972,Robert E. Cole,Optimal Population And Increasing Returns To Scale,Demography,topic 29,0.634299073116,topic 22,0.251526886812,topic 6,0.0580028686709
2173761,1973,Allen C. Kelley,Population Growth_ The Dependency Rate_ And The Pace Of Economic Development,Population Studies,topic 29,0.656369276708,topic 22,0.178762868582,topic 3,0.0617791938732
2060479,1974,Daniel B. Suits,Fertility And Per Capita Income,Demography,topic 29,0.390037586386,topic 6,0.300620933788,topic 3,0.201567363287
2060735,1975,Julian L. Simon,The Welfare Effect On An Additional Child Cannot Be Stated Simply And Unequivocally,Demography,topic 29,0.522925712176,topic 22,0.261244425602,topic 17,0.109042802553
1971618,1976,Deborah Freedman,Fertility_ Aspirations_ And Resources,Population and Development Review,topic 29,0.522672966066,topic 22,0.144290786635,topic 12,0.102496080809
1971757,1977,Eva Mueller,The Impact Of Demographic Factors On Economic Development In Taiwan,Population and Development Review,topic 29,0.64293309529,topic 22,0.138390972582,topic 4,0.0879171250711
1972146,1978,Richard A. Easterlin,Demographic Influences On Economic Stability,Population and Development Review,topic 29,0.596052035064,topic 16,0.136813320639,topic 22,0.131958324384
2061223,1979,Michael E. Conroy,Population Growth_ Life-Cycle Saving_ And International Differences In Steady-State Optimal Saving Rates,Demography,topic 29,0.543029989909,topic 6,0.192612598188,topic 3,0.168721024481
2174804,1980,Julian L. Simon,There Is No Low-Level Fertility And Development Trap,Population Studies,topic 29,0.548125969227,topic 22,0.252459733944,topic 3,0.0603040780729
1972803,1981,Oded Stark,The Asset Demand For Children During Agricultural Modernization,Population and Development Review,topic 29,0.483789626073,topic 22,0.187155580576,topic 20,0.116079172902
2808116,1982,Robert J. Willis,The Direction Of Intergenerational Transfers And Demographic Transition,Population and Development Review,topic 29,0.557734687627,topic 22,0.244675466615,topic 17,0.127761043729
